Instance 504: p_3=-62.41212, p_4=-64.97832
Instance 505: p_3=-62.41212, p_4=-64.97832
Instance 506: p_3=-62.41212, p_4=-64.97832
Instance 507: p_3=-62.41212, p_4=-64.97832
Instance 508: p_3=-62.41212, p_4=-64.97832
Instance 509: p_3=-62.41212, p_4=-64.97832
Instance 510: p_3=-62.41212, p_4=-64.97832
Instance 511: p_3=-62.41212, p_4=-64.97832
Instance 512: p_3=-62.41212, p_4=-64.97832
Instance 513: p_3=-62.41212, p_4=-64.97832
Instance 514: p_3=-62.41212, p_4=-64.97832
Instance 515: p_3=-62.41212, p_4=-64.97832
Instance 516: p_3=-62.41212, p_4=-64.97832
Instance 517: p_3=-62.41212, p_4=-64.97832
Instance 518: p_3=-62.41212, p_4=-64.97832
Instance 519: p_3=-62.41212, p_4=-64.97832
Instance 520: p_3=-62.41212, p_4=-64.97832
Instance 521: p_3=-62.41212, p_4=-64.97832
Instance 522: p_3=-62.41212, p_4=-64.97832
Instance 523: p_3=-62.41212, p_4=-64.97832
Instance 524: p_3=-62.41212, p_4=-64.97832
Instance 525: p_3=-62.41212, p_4=-64.97832
Instance 526: p_3=-62.41212, p_4=-64.97832
Instance 527: p_3=-62.41212, p_4=-64.97832
Instance 528: p_3=-62.41212, p_4=-64.97832
Instance 529: p_3=-62.41212, p_4=-64.97832
Instance 530: p_3=-62.41212, p_4=-64.97832
Instance 531: p_3=-62.41212, p_4=-64.97832
Instance 532: p_3=-62.41212, p_4=-64.97832
Instance 533: p_3=-62.41212, p_4=-64.97832
Instance 534: p_3=-62.41212, p_4=-64.97832
Instance 535: p_3=-62.41212, p_4=-64.97832
Instance 536: p_3=-62.41212, p_4=-64.97832
Instance 537: p_3=-62.41212, p_4=-64.97832
